         102         109
          24         145
         125         134
          82         135
          27          16
         101          82
          56          32
          94         153
          55          52
         127           9
           8          98
          53          79
         139          35
         151          86
           8           5
          53          27
          94         124
         108          83
          89          60
         129          33
          32          36
         105         112
         140         144
         106          18
          54          59
          32          27
          45         111
         149          53
         130          14
         118          28
         150          15
         114         118
          53         114
         123         136
         142         126
          47          43
          28         145
         138          91
         152          39
         129          79
          49         113
         118         143
          83         118
          73          73
          17          89
         119          35
         100         152
          98          39
          10         149
          67         136
