           2           0
           4           0
           6           0
           8           0
          10           0
          12           0
          14           0
          16           0
          18           0
          20           0
          22           0
          24           0
          26           0
          28           0
          30           0
          32           0
          34           0
          36           0
          38           0
          40           0
          42           0
          44           0
          46           0
          48           0
          50           0
          52           0
          54           0
          56           0
          58           0
          60           0
          62           0
          64           0
          66           0
          68           0
          70           0
          72           0
          74           0
          76           0
          78           0
          80           0
          82           0
          84           0
          86           0
          88           0
          90           0
          92           0
          94           0
          96           0
          98           0
         100           0
         102           0
         104           0
         106           0
         108           0
         110           0
         112           0
         114           0
         116           0
         118           0
         120           0
         122           0
         124           0
         126           0
         128           0
         130           0
         132           0
         134           0
         136           0
         138           0
         140           0
         142           0
         144           0
         146           0
         148           0
         150           0
         152           0
           0           0
          84           1
           9           2
          11           3
          85           3
         116           2
          20           1
          36           2
          98           2
          43           2
          35           3
         141           2
           2           2
          41           3
         114           2
          56           1
          76           2
         113           2
           1           4
          76           4
          69           1
          47           2
         146           1
           2           5
         116           3
           1           7
         112           4
          63           2
          73           2
         112           6
         140           3
         139           5
         141           6
         142           6
          56           3
         143           4
          57           3
          75           5
          65           2
          77           3
          53           1
          34           5
          66           1
         145           3
